Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Image,Image Src,SEO Title,SEO Description,Published,Status,Barva (product.metafields.custom.barva),Velikost (product.metafields.custom.velikost),Provedení (product.metafields.custom.provedeni),Hodnota (product.metafields.custom.hodnota),Pevnost (product.metafields.custom.pevnost),Značka (product.metafields.custom.znacka),Šířka (product.metafields.custom.sirka),Velikost balení (product.metafields.custom.velikost_baleni),Shoptet CODE (product.metafields.custom.internal_id),migration_legacy_id,migration_legacy_url
dykka-tuck-tape-siroka-10cm-cerna,DYKKA tuck tape | široká / 10cm | černá,"<p>DYKKA tape jsme pečlivě vyladili pro bezpečné a pohodlné skrytí penisu. Páska je vyrobena ze směsi bavlny a spandexu s lékařským akrylovým lepidlem, které umožňuje vysokou elasticitu pro maximální pohodlí. Stačí si pár proužků předstříhat, přibalit do kabelky a jste ready vyrazit. Transformujte svůj vzhled s DYKKA tape. Buďte sebejistí ve svém těle a vyjádřete svou jedinečnou identitu! ✨</p>
<p>Tape je vodotěsná a taky odolá potu, takže s ní můžete vyrazit do fitka, do sprchy a i do moře. Lepivá vrstva není na celé ploše, ale přerušovaná, aby se lépe přizpůsobila vašemu tělu. Díky jemně penetrované struktuře může vaše kůže pod páskou dýchat. Tape můžete nosit i několik dní, ale začněte max na 8 hodinách, pokud bude vše v pořádku, můžete čas prodlužovat. Při tuckování ale páska vzhledem k častějšímu odlepování kvůli močení nevydrží tak dlouho a může se stát, že bude potřebovat dolepit nebo obměnit. Mezi jednotlivým tuckováním páskou dejte kůži čas na regeneraci. Vybrat si můžete ze dvou šířek tuck tapes - <a href=""https://www.dykka.com/tucking-tapes/dykka-tuck-tape-siroka-7-cm/"">užší (7.5 cm)</a> a širší (10 cm).</p>
<p>Aby byla pokožka stále ve skvělé kondici a <strong>zvládala opakované lepení bez podráždění nebo poškození</strong>, doporučujeme ji sundávat jen se <strong><a href=""https://www.dykka.com/tapes/olej-pro-nezne-odstraneni-tejpu/"">SoftRelease Elixirem</a></strong>. Jedině tak šetrně a účinně sundáte tape a minimalizujete zátěž pokožky.</p>
<p> <b>Co na tape zbožňujeme?</b></p>
<ol>
<li><b> Účinné zploštění:</b> DYKKA tape je efektivní způsob, jak dosáhnout zploštění genitálu, čímž přispívá k více feminnímu nebo nebinárnímu vzhledu.</li>
<li><b> Pohodlná a flexibilní:</b> Materiál pásky je pružný a přizpůsobivý, což zajišťuje pohodlné nošení po celý den bez ohrožení flexibility pohybu.</li>
<li><b> Bezpečná a hypoalergenní:</b> Vyrobeno z materiálů šetrných k pokožce, minimalizuje riziko podráždění nebo alergických reakcí.</li>
</ol>
<p>Barva: <strong>černá</strong></p>
<p>Rozměr: <strong>10 cm x 5 m</strong></p>
<p>Materiál: <strong>95 % bavlna, 5 % spandex</strong></p>
<p>Balení obsahuje <strong>1 pásku</strong></p>
<p>Stejně dobře, jako páska dokáže páska pomoct se skrytím penisu, dá taky i packování i tuckování. Zároveň dokáže nahradit binder nebo prsa podržet a udělal pushup efekt. </p>
<p><strong>Jakou šířku si vybrat?</strong></p>
<p>Existuje mnoho způsobů jak si pásku nalepit, a proto neexistuje 100 % návod, kterou pásku vybrat. Někomu vyhovuje 1 pruh 10 cm široké pásky a někomu více sedí 3 pruhy úzké pásky. Obě pásky můžete také libovolně kombinovat. Nic jako špatný způsob aplikace pásky neexistuje, pokud vás páska nikde neškrtí nebo neřeže... </p>
<p><strong>Jak dlouho páska vydrží?</strong></p>
<p>Záleží na tom, jak moc často ji budete používat. Většinou je to ale zhruba 2 měsíce.</p>
<p><b>Než začnete:</b></p>
<p>Před prvním použitím si udělejte test, jestli se vaše pokožka a páska budou kamarádit. Používáte naši pásku pravidelně? I tak si s novou páskou udělejte test, jestli si s páskou bude vaše kůže rozumět. <strong>Jak na to?</strong> Ustřihněte si úzký pásek a nalepte si ho na místa, kam si budete pásku lepit a nechte si ji tam pár hodin. Je všechno ok? Můžete se vrhnout na její používání. Buďte k sobě něžní a nelepte si pásku přes otevřené rány nebo na jakkoliv podrážděnou pokožku.</p>
<p><strong>Návod k použití:</strong></p>
<ol>
<li>Páska se lepí na čistou a suchou pokožku. Nelepte pásku na čerstvě oholenou pokožku a ani plné ochlupení. Ideální je ochlupení hodně zkrátit. </li>
<li>Ustřihněte si 1 kousek pásky podle potřeby (cca 10-20 cm).</li>
<li>Obstřihněte a lehce zakulaťte rohy pásky, tím zajistíte, že se nebude odlepovat.</li>
<li>Nachystejte si krycí vrstvu, kterou si přikryjete samotné genitálie, aby nedošlo k poranění jejich jemné pokožky při odstraňování pásky. Použít můžete třeba gázu nebo aspoň toaletní papír.</li>
<li>Pokud používáte pásku 10 cm, mohl by vám stačit jeden pruh. </li>
<li>Varlata si schovejte do měkkého místa mezi pánevní kostí.</li>
<li>Začněte pásku lepit od stydkého pohorku směrem dolů a dozadu. Ideální je lepit v podřepu.</li>
<li>Ujistěte se, že páska je pohodlná a nepříjemně netlačí.</li>
</ol>
<h2><strong>Jak pásku sundat?</strong></h2>
<ol>
<li>Nechte pásku pořádně odmočit, aby šla pěkně sundat. Nikdy ji netrhejte na sucho!</li>
<li>Tape můžete nechat i odmastit olejem vhodným na kůži (brzo bude speciální olej skladem).</li>
<li>Postupně jemně sundávejte pásku, pokud to ještě nejde dobře, tak je potřeba ji víc odmočit.</li>
<li>Ať tape sundáte, kůži dobře promažte a namasírujte, aby o ni bylo pěkně postaráno.</li>
</ol>
<p>⚠️ <b>Upozornění:</b></p>
<p>Nenoste pásku déle než 8 hodin. Používejte s opatrností a podle návodu k použití. Nedoporučuje se pro dlouhodobé nošení nebo při podráždění pokožky. V případě jakýchkoli nežádoucích reakcí přestaňte produkt používat. Objevila se vám vyrážka, jakékoli známky infekce, včetně horečky, zimnice nebo zvracení? Obraťte se na vašeho lékaře. <b>",DYKKA,tanga,[857;860;870;879;893;902;896],,,,,,,359,0,shopify,4,continue,manual,330,TRUE,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/401_dykka-tape-10cm-black--2.jpg?667c1526,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/401_dykka-tape-10cm-black--2.jpg?667c1526,DYKKA tuck tape - široká / 10cm - černá,"Bezpečné a pohodlné skrytí genitálií. Vodotěsná a elastická, ideální pro fitko, sprchu i moře. Stačí si pár proužků nastříhat a přibalit do kabelky.",TRUE,active,,,,,,,,,359,359,https://www.dykka.com/tapes/dykka-tuck-tape-siroka-10cm-cerna/
deti-to-chtej-vedet-taky,Děti to chtěj vědět taky,"
<div>Kniha <i>Děti to chtěj vědět taky</i> je pomůckou pro všechny rodiče, prarodiče, tetičky, strýčky a další, kteří se chtějí aktivně podílet na sexuální výchově dětí a poskytnout jim kvalitní a ověřené informace bez mýtů a stereotypů. Kombinuje odborný výklad s osobními výpověďmi, modelovými ukázkami konverzací a rozhovory s odborníky a odbornicemi na specifické oblasti sexuálního zdraví, a pokrývá tak klíčová témata jako sexuální chování dětí, dětská masturbace, sexuální orientace a genderová identita, sex nebo sexuální násilí. Ukazuje, že rodiče mohou být těmi, za kterými si dítě přijde pro radu, že s rozhovory o vztazích a sexuálním zdraví můžeme začít už od nejútlejšího věku a že sexuální výchova není jenom o navlékání kondomů na banán a rozdávání vložek.</div>
<div> </div>
<div><strong>Autorky</strong></div>
<div>Mgr. Dagmar Krišová a Mgr. Marcela Poláčková jsou odbornice na sexuální výchovu a prevenci sexuálního násilí. Dlouhodobě spolupracují s organizací Konsent, kde tvoří metodiky sexuální výchovy pro učitelky a učitele a materiály pro rodiče. Vedou workshopy prevence sexuálního násilí na základních a středních školách a učí dospělé, jak s dětmi a dospívajícími otevřeně mluvit o intimních tématech. <b><b><b>Dagmar Krišová </b>je sociální pedagožka, zabývá se genderem a sexualitou ve vzdělávání a sexuální výchovou.<b><b><b>Marcela Poláčková</b> je psycholožka, zabývá se prevencí sexuálního násilí a sekundární viktimizace lidí, kteří sexuální násilí zažili. <b><b><a href=""https://konsent.cz"">Konsent </a>založila <strong>Johanna Nejedlová</strong> v roce 2016. Dnes máme na kontě tisíce hodin workshopů na školách, stovky proškolených lidí na akademické půdě i ve firmách, barech, klubech a dalších organizacích. Advokační činností se také dlouhodobě zasazujeme například o úpravu definice znásilnění. Sledujte nás Facebooku nebo Instagramu, kde boříme mýty o sexu a vztazích malými jednohubkami každý den.</div>
<p> </p>

<div>formát: 165 x 230 mm<b>paperback<b>228 stran<b>ISBN: 978-80-11-02449-9</div>
<div>vydává: Konsent, z. s</div>",Konsent,Vánoce,[867;879;798],,,,,,,303,0,shopify,0,continue,manual,470,TRUE,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/303_dykka-deti-to-chtej-tady-vedet.jpg?639a15df,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/303_dykka-deti-to-chtej-tady-vedet.jpg?639a15df,Děti to chtěj vědět taky | O respektujících vztazích a sexuálním zdraví,"Kniha Děti to chtěj vědět taky od autorek Dagmar Krišové a Marcely Poláčkové. Pomůcka pro všechny, kteří se chtějí podílet na kvalitní sexuální výchově dětí.",TRUE,active,,,,,,,,,303,303,https://www.dykka.com/darky/deti-to-chtej-vedet-taky/
vibrator-zen-yuzucha-by-iroha,Vibrátor ZEN Yuzucha by Iroha,"<p>V míru se světem, v harmonii se svým tělem, v zenu. </p>
<p>Uh! </p>
<p>Jeho tělo zdobí jemné drážky, kterými vás vibrace spirálovitě doprovodí až k pocitu absolutní blaženosti. Dokonalé potěšení z nirvány si pak můžete užívat až donekonečna. Zakřivený vibrátor je vyroben z prvotřídního silikonu, který velmi věrně imituje pocit pokožky.</p>
<p>Zen je rafinovaně malý, abyste jej mohli nosit kamkoliv s sebou, ale dost velký na to, aby se dobře držel a dokázal vám dopřát vytouženou rozkoš.</p>
<p>Hrajte si s ním, dotýkejte se, zasouvejte a otáčejte.</p>
<p>Minimalistický japonský design se snoubí s vytříbenou funkčností. Vibrátor je plně vodotěsný, a tak si ho můžete brát i do vany. Nemusíte se pak bát, že se na něj nachytají částečky prachu, je speciálně vyvinutý tak, aby se ho prach naopak bál. Má intuitivní ovládání a snadno se čistí.</p>
<ul>
<li>Vyroben z extrémně jemného silikonu + ABS</li>
<li>Snadno se drží</li>
<li>Je plně vodotěsný</li>
<li>2 AAA baterie</li>
<li>Dokonalé záhyby na tvarovaném těle</li>
<li>3 intenzity vibrací a 1 pulzující mód</li>
<li>S protiprachovým povlakem</li>
<li>Rozměry: 3,3 (š) x 3,3 (h) x 12,7 cm (v)</li>
<li>V barvě zralé mandarinky</li>
</ul>
<p>K dostání i v barvě <a href=""https://www.dykka.com/vibratory/vibrator-zen-hanacha-by-iroha/""><strong>jahodového milkshaku</strong></a> nebo <a href=""https://www.dykka.com/sex/vibrator-zen-matcha-by-iroha/""><strong>matcha čaje</strong></a>.</p>
<p>Chcete se nechat unést do galaxie jménem Slast? Pak pro vás máme z dílny Iroha také řadu vibrátorů <strong>Rin</strong> ve <a href=""https://www.dykka.com/vibratory/vibrator-rin-akane-by-iroha/""><strong>smetanové</strong></a> nebo <a href=""https://www.dykka.com/vibratory/vibrator-rin-akane-by-iroha-2/""><strong>světlounce růžové</strong></a> barvě a <strong>Rin+ </strong>v <a href=""https://www.dykka.com/sex/vibrator-rin--by-iroha/""><strong>jemně růžové</strong></a> nebo v barvě <a href=""https://www.dykka.com/vibratory/vibrator-rin--hisui-by-iroha/""><strong>pistáciové zmrzliny</strong></a>. K radostnému konci vás přivede také ohebný <a href=""https://www.dykka.com/sex/vibrator-mikazuki-by-iroha/""><strong>MIKAZUKI</strong></a> a váš klitoris potěší holubice <a href=""https://www.dykka.com/sex/vibrator-na-klitoris-tori-by-iroha/""><strong>Tori</strong></a> nebo drobný kvítek <a href=""https://www.dykka.com/sex/drazditko-petit-plum-by-iroha/""><strong>Petit Plum</strong></a>.</p>
<p>Odkaz na video <a href=""https://www.youtube.com/watch?v=Fax7QK4r1OQ"">https://www.youtube.com/watch?v=Fax7QK4r1OQ</a></p>
<p> </p>
<p><img src='https://cdn.shopify.com/s/files/1/0810/5633/4156/files/zen_yuzucha_orange_vibrátor_iroha-8-2.jpg' alt=""zen_yuzucha_orange_vibrátor_iroha-8-2"" style=""display: block; margin-left: auto; margin-right: auto;"" width=""475"" height=""306"" /></p>",Iroha,dárky,[798;831;867;831],,,,,,,196,0,shopify,0,continue,manual,1190,TRUE,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228_zen-yuzucha-orange-vibrator-iroha-15.jpg?6256ce8e,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228_zen-yuzucha-orange-vibrator-iroha-15.jpg?6256ce8e,Minimalistický vibrátor ZEN Yuzucha | Iroha | barva mandarinky,Vibrátor ZEN Yuzucha se spirálovitými drážkami a hedvábně jemným povrchem. V barvě zralé mandarinky. Tři intenzity vibrací. Jeden pulzující mód. Vodotěsný.,TRUE,active,,,,,,,,,196,196,https://www.dykka.com/vibratory/vibrator-zen-yuzucha-by-iroha/
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-4_zen-yuzucha-orange-vibrator-iroha-4.jpg?6256ced2,,,,,,,,,,,,,,,
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-7_zen-yuzucha-orange-vibrator-iroha-7.jpg?6256cee4,,,,,,,,,,,,,,,
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-3_zen-yuzucha-orange-vibrator-iroha-3.jpg?6256cecd,,,,,,,,,,,,,,,
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-6_zen-yuzucha-orange-vibrator-iroha-6.jpg?6256cede,,,,,,,,,,,,,,,
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-13_iroha-zen-yuzucha-material-maly.jpg?6501a797,,,,,,,,,,,,,,,
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-5_iroha-zen-yuzucha-vodotesnost-maly.jpg?6501a797,,,,,,,,,,,,,,,
vibrator-zen-yuzucha-by-iroha,,,,,,,,,,,,,,,,,,,,,https://cdn.myshoptet.com/usr/www.dykka.com/user/shop/orig/228-11_iroha-zen-yuzucha-pouziti-maly.jpg?6501a797,,,,,,,,,,,,,,,
